River,Basins,Sampling Sites,Longitude_E,Latitude_N,Stream_and_river_Reaches,Strahler Stream Order
Yangtze River,Mainstem,TTH,"92°26'37""","34°13'15""",Tuotuo River,6
Yangtze River,Mainstem,QML,"95°49'17""","34°04'01""",Upper Tongtian River,7
Yangtze River,Mainstem,ZMD,"97°14'50""","33°00'32""",Lower Tongtian River,7
Yangtze River,Tributaries,LB,"96°28'23""","33°13'26""",Longbao Creek,3
Yangtze River,Tributaries,BT,"97°02'28""","33°00'56""",Batang Stream,4
Yangtze River,Tributaries,BM,"100°44'45""","32°55'43""",Markog River,5
Yellow River,Mainstem,MD,"98°10'16""","34°53'08""",Uppermost Yellow River,5
Yellow River,Mainstem,DR,"99°39'24""","33°46'02""",Upper Yellow River,6
Yellow River,Mainstem,MT,"101°02'39""","33°46'30""",Upper Yellow River,6
Yellow River,Mainstem,MQ,"102°04'47""","33°59'46""",Upper Yellow River,6
Yellow River,Mainstem,JG,"100°38'42""","34°41'02""",Lower Yellow River,7
Yellow River,Mainstem,BD,"100°15'49""","35°19'17""",Lower Yellow River,7
Yellow River,Mainstem,TNH,"100°09'51""","35°29'60""",Lower Yellow River,7
Yellow River,Mainstem,XH,"102°26'41""","35°52'13""",Lower Yellow River,7
Yellow River,Mainstem,XC,"103°19'02""","35°56'22""",Lower Yellow River,7
Yellow River,Tributaries,RQ,"98°15'52""","34°36'05""",Re Qu,5
Yellow River,Tributaries,JZ,"101°28'59""","33°25'58""",Sharkog Stream,3
Yellow River,Tributaries,TK,"102°27'42""","33°24'38""",White River,5
Lancang River,Mainstem,XD,"96°27'07""","32°18'53""",Zha Qu,6
Lancang River,Mainstem,CD,"97°10'44""","31°07'38""",Uppermost Lancang River,7
Lancang River,Mainstem,LTJ,"98°47'24""","28°33'08""",Upper Lancang River,7
Lancang River,Tributaries,XLX,"96°34'17""","32°35'20""",Zi Qu,4
Lancang River,Tributaries,LWQ,"96°36'24""","31°13'17""",Purple Stream,5
Nu River,Mainstem,NQ,"91°58'54""","31°25'20""",Na Qu,5
Nu River,Mainstem,JYQ,"96°14'01""","30°52'38""",Upper Nu River,7
Nu River,Mainstem,GS,98°41',27°44',Mid Nu River,7
Nu River,Tributaries,LL,"95°49'24""","30°44'30""",Dromalangtso Creek,4
Nu River,Tributaries,ZG,"97°50'49""","29°40'10""",Yu Qu,5
